,trajectory,next step rate,step name
0,..........+..........,3.850521e+07,f_nucleation14
1,........(.+.......)..,1.550035e+09,b_sliding_34
2,........(.+........).,2.000000e+07,f_sliding_34
3,........(.+.......)..,1.550035e+09,b_sliding_34
4,........(.+........).,1.556126e+07,b_nucleation12
5,..........+..........,3.850521e+07,f_nucleation11
6,.(........+.)........,7.048169e+08,b_sliding_23
7,..(.......+.)........,2.000000e+07,f_sliding_23
8,.(........+.)........,7.048169e+08,b_sliding_23
9,..(.......+.)........,2.000000e+07,f_sliding_24
10,((........+...)).....,8.853220e+07,b_sliding_24
11,..(.......+.)........,2.000000e+07,f_sliding_23
12,.(........+.)........,7.048169e+08,b_sliding_23
13,..(.......+.)........,2.000000e+07,f_sliding_24
14,((........+...)).....,8.853220e+07,b_sliding_24
15,..(.......+.)........,2.000000e+07,f_sliding_24
16,((........+...)).....,8.853220e+07,b_sliding_24
17,..(.......+.)........,2.000000e+07,f_sliding_23
18,.(........+.)........,7.048169e+08,b_sliding_23
19,..(.......+.)........,2.000000e+07,f_sliding_24
20,((........+...)).....,8.853220e+07,b_sliding_24
21,..(.......+.)........,2.000000e+07,f_sliding_23
22,.(........+.)........,7.048169e+08,b_sliding_23
23,..(.......+.)........,2.000000e+07,f_sliding_23
24,.(........+.)........,7.048169e+08,b_sliding_23
25,..(.......+.)........,2.000000e+07,f_sliding_23
26,.(........+.)........,7.048169e+08,b_sliding_23
27,..(.......+.)........,2.000000e+07,f_sliding_24
28,((........+...)).....,8.853220e+07,b_sliding_24
29,..(.......+.)........,2.000000e+07,f_sliding_23
30,.(........+.)........,7.048169e+08,b_sliding_23
31,..(.......+.)........,2.000000e+07,f_sliding_23
32,.(........+.)........,7.048169e+08,b_sliding_23
33,..(.......+.)........,2.000000e+07,f_sliding_23
34,.(........+.)........,7.048169e+08,b_sliding_23
35,..(.......+.)........,2.000000e+07,f_sliding_24
36,((........+...)).....,8.853220e+07,b_sliding_24
37,..(.......+.)........,2.000000e+07,f_sliding_23
38,.(........+.)........,7.048169e+08,b_sliding_23
39,..(.......+.)........,2.000000e+07,f_sliding_24
40,((........+...)).....,8.853220e+07,b_sliding_24
41,..(.......+.)........,9.572191e+06,b_nucleation13
42,..........+..........,3.850521e+07,f_nucleation9
43,.........(+).........,7.624032e+09,f_zipping_44
44,........((+))........,7.628092e+08,b_zipping_44
45,.........(+).........,7.624032e+09,f_zipping_44
46,........((+))........,7.628092e+08,b_zipping_44
47,.........(+).........,7.624032e+09,f_zipping_44
48,........((+))........,7.628092e+08,b_zipping_44
49,.........(+).........,7.624032e+09,f_zipping_44
50,........((+))........,7.628092e+08,b_zipping_44
51,.........(+).........,7.624032e+09,f_zipping_44
52,........((+))........,7.628092e+08,b_zipping_44
53,.........(+).........,7.624032e+09,f_zipping_44
54,........((+))........,7.628092e+08,b_zipping_44
55,.........(+).........,7.624032e+09,f_zipping_44
56,........((+))........,7.628092e+08,b_zipping_44
57,.........(+).........,7.624032e+09,f_zipping_44
58,........((+))........,7.628092e+08,b_zipping_44
59,.........(+).........,7.624032e+09,f_zipping_44
60,........((+))........,7.628092e+08,b_zipping_44
61,.........(+).........,7.624032e+09,f_zipping_44
62,........((+))........,7.628092e+08,b_zipping_44
63,.........(+).........,7.624032e+09,f_zipping_44
64,........((+))........,7.628092e+08,b_zipping_44
65,.........(+).........,7.624032e+09,f_zipping_44
66,........((+))........,7.628092e+08,b_zipping_44
67,.........(+).........,7.624032e+09,f_zipping_44
68,........((+))........,7.628092e+08,b_zipping_44
69,.........(+).........,7.624032e+09,f_zipping_44
70,........((+))........,7.628092e+08,b_zipping_44
71,.........(+).........,7.624032e+09,f_zipping_44
72,........((+))........,7.628092e+08,b_zipping_44
73,.........(+).........,7.624032e+09,f_zipping_44
74,........((+))........,7.628092e+08,b_zipping_44
75,.........(+).........,7.624032e+09,f_zipping_44
76,........((+))........,7.628092e+08,b_zipping_44
77,.........(+).........,7.624032e+09,f_zipping_44
78,........((+))........,7.628092e+08,b_zipping_44
79,.........(+).........,7.624032e+09,f_zipping_44
80,........((+))........,7.628092e+08,b_zipping_44
81,.........(+).........,7.624032e+09,f_zipping_44
82,........((+))........,7.628092e+08,b_zipping_44
83,.........(+).........,7.624032e+09,f_zipping_44
84,........((+))........,7.628092e+08,b_zipping_44
85,.........(+).........,7.624032e+09,f_zipping_44
86,........((+))........,7.628092e+08,b_zipping_44
87,.........(+).........,7.624032e+09,f_zipping_44
88,........((+))........,7.628092e+08,b_zipping_44
89,.........(+).........,7.624032e+09,f_zipping_44
90,........((+))........,7.628092e+08,b_zipping_44
91,.........(+).........,7.624032e+09,f_zipping_44
92,........((+))........,7.628092e+08,b_zipping_44
93,.........(+).........,7.624032e+09,f_zipping_44
94,........((+))........,7.628092e+08,b_zipping_44
95,.........(+).........,7.624032e+09,f_zipping_44
96,........((+))........,7.628092e+08,b_zipping_44
97,.........(+).........,7.624032e+09,f_zipping_44
98,........((+))........,7.628092e+08,b_zipping_44
99,.........(+).........,7.624032e+09,f_zipping_44
100,........((+))........,7.628092e+08,b_zipping_44
101,.........(+).........,7.624032e+09,f_zipping_44
102,........((+))........,7.628092e+08,b_zipping_44
103,.........(+).........,7.624032e+09,f_zipping_44
104,........((+))........,7.628092e+08,b_zipping_44
105,.........(+).........,7.624032e+09,f_zipping_44
106,........((+))........,7.628092e+08,b_zipping_44
107,.........(+).........,7.624032e+09,f_zipping_44
108,........((+))........,7.628092e+08,b_zipping_44
109,.........(+).........,7.624032e+09,f_zipping_44
110,........((+))........,7.628092e+08,b_zipping_44
111,.........(+).........,7.624032e+09,f_zipping_44
112,........((+))........,7.628092e+08,b_zipping_44
113,.........(+).........,7.624032e+09,f_zipping_44
114,........((+))........,7.628092e+08,b_zipping_44
115,.........(+).........,7.624032e+09,f_zipping_44
116,........((+))........,7.628092e+08,b_zipping_44
117,.........(+).........,7.624032e+09,f_zipping_44
118,........((+))........,7.628092e+08,b_zipping_44
119,.........(+).........,7.624032e+09,f_zipping_44
120,........((+))........,7.628092e+08,b_zipping_44
121,.........(+).........,7.624032e+09,f_zipping_44
122,........((+))........,7.628092e+08,b_zipping_44
123,.........(+).........,7.624032e+09,f_zipping_44
124,........((+))........,7.628092e+08,b_zipping_44
125,.........(+).........,7.624032e+09,f_zipping_44
126,........((+))........,1.117329e+07,b_zipping_72
127,.......(((+))).......,7.624032e+09,f_zipping_72
128,........((+))........,7.628092e+08,b_zipping_44
129,.........(+).........,7.624032e+09,f_zipping_44
130,........((+))........,7.628092e+08,b_zipping_44
131,.........(+).........,7.624032e+09,f_zipping_44
132,........((+))........,7.628092e+08,b_zipping_44
133,.........(+).........,7.624032e+09,f_zipping_44
134,........((+))........,7.628092e+08,b_zipping_44
135,.........(+).........,7.624032e+09,f_zipping_44
136,........((+))........,7.628092e+08,b_zipping_44
137,.........(+).........,7.624032e+09,f_zipping_44
138,........((+))........,7.628092e+08,b_zipping_44
139,.........(+).........,7.624032e+09,f_zipping_44
140,........((+))........,7.628092e+08,b_zipping_44
141,.........(+).........,7.624032e+09,f_zipping_44
142,........((+))........,7.628092e+08,b_zipping_44
143,.........(+).........,7.624032e+09,f_zipping_44
144,........((+))........,7.628092e+08,b_zipping_44
145,.........(+).........,7.624032e+09,f_zipping_44
146,........((+))........,7.628092e+08,b_zipping_44
147,.........(+).........,7.624032e+09,f_zipping_44
148,........((+))........,7.628092e+08,b_zipping_44
149,.........(+).........,7.624032e+09,f_zipping_44
150,........((+))........,7.628092e+08,b_zipping_44
151,.........(+).........,7.624032e+09,f_zipping_44
152,........((+))........,7.628092e+08,b_zipping_44
153,.........(+).........,7.624032e+09,f_zipping_44
154,........((+))........,7.628092e+08,b_zipping_44
155,.........(+).........,7.624032e+09,f_zipping_44
156,........((+))........,7.628092e+08,b_zipping_44
157,.........(+).........,7.624032e+09,f_zipping_44
158,........((+))........,7.628092e+08,b_zipping_44
159,.........(+).........,7.624032e+09,f_zipping_44
160,........((+))........,7.628092e+08,b_zipping_44
161,.........(+).........,7.624032e+09,f_zipping_44
162,........((+))........,7.628092e+08,b_zipping_44
163,.........(+).........,7.624032e+09,f_zipping_44
164,........((+))........,7.628092e+08,b_zipping_44
165,.........(+).........,7.624032e+09,f_zipping_44
166,........((+))........,7.628092e+08,b_zipping_44
167,.........(+).........,7.624032e+09,f_zipping_44
168,........((+))........,7.628092e+08,b_zipping_44
169,.........(+).........,7.624032e+09,f_zipping_44
170,........((+))........,7.628092e+08,b_zipping_44
171,.........(+).........,7.624032e+09,f_zipping_44
172,........((+))........,7.628092e+08,b_zipping_44
173,.........(+).........,7.624032e+09,f_zipping_44
174,........((+))........,7.628092e+08,b_zipping_44
175,.........(+).........,7.624032e+09,f_zipping_44
176,........((+))........,7.628092e+08,b_zipping_44
177,.........(+).........,7.624032e+09,f_zipping_44
178,........((+))........,7.628092e+08,b_zipping_44
179,.........(+).........,7.624032e+09,f_zipping_44
180,........((+))........,7.628092e+08,b_zipping_44
181,.........(+).........,7.624032e+09,f_zipping_44
182,........((+))........,7.628092e+08,b_zipping_44
183,.........(+).........,7.624032e+09,f_zipping_44
184,........((+))........,7.628092e+08,b_zipping_44
185,.........(+).........,7.624032e+09,f_zipping_44
186,........((+))........,7.628092e+08,b_zipping_44
187,.........(+).........,7.624032e+09,f_zipping_44
