,trajectory,next step rate,step name
0,..........+..........,2.438527e+09,f_backfray-end_17
1,......(...+.)........,1.640335e+09,b_backfray-end_49
2,..........+..........,7.184670e+08,f_off_core_12
3,(.........+....).....,7.432564e+09,f_backfray-end_33
4,((........+...)).....,5.381723e+08,b_backfray-end_30
5,(.........+....).....,7.432564e+09,f_backfray-end_33
6,((........+...)).....,4.351879e+08,b_backfray-end_31
7,.(........+...)......,9.191432e+09,f_backfray-end_35
8,((........+...)).....,4.351879e+08,b_backfray-end_31
9,.(........+...)......,9.191432e+09,f_backfray-end_35
10,((........+...)).....,5.381723e+08,b_backfray-end_30
11,(.........+....).....,7.432564e+09,f_backfray-end_33
12,((........+...)).....,4.351879e+08,b_backfray-end_31
13,.(........+...)......,9.191432e+09,f_backfray-end_35
14,((........+...)).....,5.381723e+08,b_backfray-end_30
15,(.........+....).....,7.432564e+09,f_backfray-end_33
16,((........+...)).....,5.381723e+08,b_backfray-end_30
17,(.........+....).....,7.432564e+09,f_backfray-end_33
18,((........+...)).....,4.351879e+08,b_backfray-end_31
19,.(........+...)......,9.191432e+09,f_backfray-end_35
20,((........+...)).....,4.351879e+08,b_backfray-end_31
21,.(........+...)......,9.191432e+09,f_backfray-end_35
22,((........+...)).....,4.351879e+08,b_backfray-end_31
23,.(........+...)......,9.191432e+09,f_backfray-end_35
24,((........+...)).....,4.351879e+08,b_backfray-end_31
25,.(........+...)......,9.191432e+09,f_backfray-end_35
26,((........+...)).....,4.351879e+08,b_backfray-end_31
27,.(........+...)......,9.191432e+09,f_backfray-end_35
28,((........+...)).....,5.381723e+08,b_backfray-end_30
29,(.........+....).....,7.432564e+09,f_backfray-end_33
30,((........+...)).....,4.351879e+08,b_backfray-end_31
31,.(........+...)......,9.191432e+09,f_backfray-end_35
32,((........+...)).....,5.381723e+08,b_backfray-end_30
33,(.........+....).....,7.432564e+09,f_backfray-end_33
34,((........+...)).....,4.351879e+08,b_backfray-end_31
35,.(........+...)......,9.191432e+09,f_backfray-end_35
36,((........+...)).....,5.381723e+08,b_backfray-end_30
37,(.........+....).....,7.432564e+09,f_backfray-end_33
38,((........+...)).....,4.351879e+08,b_backfray-end_31
39,.(........+...)......,9.191432e+09,f_backfray-end_35
40,((........+...)).....,5.381723e+08,b_backfray-end_30
41,(.........+....).....,7.432564e+09,f_backfray-end_33
42,((........+...)).....,5.381723e+08,b_backfray-end_30
43,(.........+....).....,7.432564e+09,f_backfray-end_33
44,((........+...)).....,5.381723e+08,b_backfray-end_30
45,(.........+....).....,7.432564e+09,f_backfray-end_33
46,((........+...)).....,5.381723e+08,b_backfray-end_30
47,(.........+....).....,7.432564e+09,f_backfray-end_33
48,((........+...)).....,4.351879e+08,b_backfray-end_31
49,.(........+...)......,9.191432e+09,f_backfray-end_35
50,((........+...)).....,5.381723e+08,b_backfray-end_30
51,(.........+....).....,7.432564e+09,f_backfray-end_33
52,((........+...)).....,4.351879e+08,b_backfray-end_31
53,.(........+...)......,9.191432e+09,f_backfray-end_35
54,((........+...)).....,4.351879e+08,b_backfray-end_31
55,.(........+...)......,9.191432e+09,f_backfray-end_35
56,((........+...)).....,5.381723e+08,b_backfray-end_30
57,(.........+....).....,7.432564e+09,f_backfray-end_33
58,((........+...)).....,5.381723e+08,b_backfray-end_30
59,(.........+....).....,7.432564e+09,f_backfray-end_33
60,((........+...)).....,5.381723e+08,b_backfray-end_30
61,(.........+....).....,7.432564e+09,f_backfray-end_33
62,((........+...)).....,4.351879e+08,b_backfray-end_31
63,.(........+...)......,9.191432e+09,f_backfray-end_35
64,((........+...)).....,5.381723e+08,b_backfray-end_30
65,(.........+....).....,7.432564e+09,f_backfray-end_33
66,((........+...)).....,4.351879e+08,b_backfray-end_31
67,.(........+...)......,9.191432e+09,f_backfray-end_35
68,((........+...)).....,4.351879e+08,b_backfray-end_31
69,.(........+...)......,9.191432e+09,f_backfray-end_35
70,((........+...)).....,4.351879e+08,b_backfray-end_31
71,.(........+...)......,9.191432e+09,f_backfray-end_35
72,((........+...)).....,4.351879e+08,b_backfray-end_31
73,.(........+...)......,9.191432e+09,f_backfray-end_35
74,((........+...)).....,5.381723e+08,b_backfray-end_30
75,(.........+....).....,3.160259e+08,b_off_core_32
76,..........+..........,7.184670e+08,f_off_core_21
77,....(.....+.........),2.455272e+09,f_backfray-end_64
78,....(.(...+.......).),8.155708e+09,f_backfray-end_66
79,....(.((..+......)).),1.317395e+09,b_backfray-end_61
80,......((..+......))..,3.036296e+09,f_backfray-end_72
81,....(.((..+......)).),4.904540e+08,b_backfray-end_59
82,....(.(...+.......).),8.155708e+09,f_backfray-end_66
83,....(.((..+......)).),1.317395e+09,b_backfray-end_61
84,......((..+......))..,3.036296e+09,f_backfray-end_72
85,....(.((..+......)).),3.230608e+08,b_backfray-end_60
86,......(...+.......)..,1.238157e+10,f_backfray-end_68
87,....(.((..+......)).),1.317395e+09,b_backfray-end_61
88,......((..+......))..,3.036296e+09,f_backfray-end_72
89,....(.((..+......)).),1.317395e+09,b_backfray-end_61
90,......((..+......))..,3.036296e+09,f_backfray-end_72
91,....(.((..+......)).),1.317395e+09,b_backfray-end_61
92,......((..+......))..,6.065168e+08,b_backfray-end_71
93,.......(..+......)...,6.595036e+09,f_backfray-end_70
94,......((..+......))..,3.036296e+09,f_backfray-end_72
95,....(.((..+......)).),1.317395e+09,b_backfray-end_61
96,......((..+......))..,3.036296e+09,f_backfray-end_72
97,....(.((..+......)).),1.317395e+09,b_backfray-end_61
98,......((..+......))..,3.036296e+09,f_backfray-end_72
99,....(.((..+......)).),3.230608e+08,b_backfray-end_60
100,......(...+.......)..,1.238157e+10,f_backfray-end_68
101,....(.((..+......)).),1.317395e+09,b_backfray-end_61
102,......((..+......))..,3.036296e+09,f_backfray-end_72
103,....(.((..+......)).),1.317395e+09,b_backfray-end_61
104,......((..+......))..,3.036296e+09,f_backfray-end_72
105,....(.((..+......)).),3.230608e+08,b_backfray-end_60
106,......(...+.......)..,1.238157e+10,f_backfray-end_68
107,....(.((..+......)).),1.317395e+09,b_backfray-end_61
108,......((..+......))..,3.036296e+09,f_backfray-end_72
109,....(.((..+......)).),1.317395e+09,b_backfray-end_61
110,......((..+......))..,3.036296e+09,f_backfray-end_72
111,....(.((..+......)).),1.317395e+09,b_backfray-end_61
