,trajectory,next step rate,step name
0,..........+..........,4.765020e+08,f_off_core_34
1,.........(+.)........,2.000000e+09,f_backfray_171
2,.......(.(+.).)......,1.541886e+09,b_backfray_172
3,.........(+.)........,2.000000e+09,f_backfray_171
4,.......(.(+.).)......,2.000000e+09,f_backfray_173
5,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
6,.......(..+...)......,2.000000e+09,f_backfray_164
7,.....(.(.(+.).).)....,1.161014e+10,b_backfray_167
8,.......(.(+.).)......,2.000000e+09,f_backfray_173
9,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
10,.......(..+...)......,2.000000e+09,f_backfray_164
11,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
12,.......(..+...)......,2.000000e+09,f_backfray_164
13,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
14,.......(..+...)......,2.000000e+09,f_backfray_164
15,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
16,.......(..+...)......,2.000000e+09,f_backfray_164
17,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
18,.......(..+...)......,2.000000e+09,f_backfray_164
19,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
20,.......(..+...)......,2.000000e+09,f_backfray_164
21,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
22,.......(..+...)......,2.000000e+09,f_backfray_164
23,.....(.(.(+.).).)....,1.161014e+10,b_backfray_167
24,.......(.(+.).)......,2.000000e+09,f_backfray_173
25,.....(.(.(+.).).)....,1.161014e+10,b_backfray_167
26,.......(.(+.).)......,2.000000e+09,f_backfray_173
27,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
28,.......(..+...)......,2.000000e+09,f_backfray_164
29,.....(.(.(+.).).)....,1.161014e+10,b_backfray_167
30,.......(.(+.).)......,2.000000e+09,f_backfray_173
31,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
32,.......(..+...)......,2.000000e+09,f_backfray_164
33,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
34,.......(..+...)......,2.000000e+09,f_backfray_164
35,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
36,.......(..+...)......,2.000000e+09,f_backfray_164
37,.....(.(.(+.).).)....,1.161014e+10,b_backfray_167
38,.......(.(+.).)......,1.541886e+09,b_backfray_172
39,.........(+.)........,3.205307e+08,b_off_core_170
40,..........+..........,4.765020e+08,f_off_core_26
41,....(.....+....).....,3.205307e+08,b_off_core_116
42,..........+..........,4.765020e+08,f_off_core_33
43,.......(..+...)......,2.000000e+09,f_backfray_164
44,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
45,.......(..+...)......,2.000000e+09,f_backfray_164
46,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
47,.......(..+...)......,2.000000e+09,f_backfray_164
48,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
49,.......(..+...)......,2.000000e+09,f_backfray_164
50,.....(.(.(+.).).)....,1.161014e+10,b_backfray_167
51,.......(.(+.).)......,2.000000e+09,f_backfray_173
52,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
53,.......(..+...)......,2.000000e+09,f_backfray_164
54,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
55,.......(..+...)......,2.000000e+09,f_backfray_164
56,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
57,.......(..+...)......,2.000000e+09,f_backfray_164
58,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
59,.......(..+...)......,2.000000e+09,f_backfray_164
60,.....(.(.(+.).).)....,5.745317e+10,b_backfray_165
61,.......(..+...)......,2.000000e+09,f_backfray_164
62,.....(.(.(+.).).)....,2.000000e+09,f_backfray_166
63,....((.(.(+.).).))...,2.000000e+09,f_backfray_169
64,...(((.(.(+.).).)))..,2.000000e+09,f_backfray-end_161
65,.(.(((.(.(+.).).))).),1.497554e+10,b_sliding_137
66,....((....+......))..,5.869956e+07,b_backfray-end_176
67,.....(....+......)...,2.000000e+09,f_backfray-end_181
68,....((....+......))..,5.869956e+07,b_backfray-end_175
69,....(.....+.......)..,2.000000e+09,f_backfray-end_179
70,....((....+......))..,2.000000e+07,f_sliding_174
71,.(.(((.(.(+.).).))).),1.497554e+10,b_sliding_137
72,....((....+......))..,5.869956e+07,b_backfray-end_176
73,.....(....+......)...,2.000000e+09,f_backfray-end_181
74,....((....+......))..,5.869956e+07,b_backfray-end_175
75,....(.....+.......)..,2.000000e+09,f_backfray-end_179
76,....((....+......))..,2.000000e+07,f_sliding_174
77,.(.(((.(.(+.).).))).),1.541886e+09,b_backfray-end_136
78,...(((.(.(+.).).)))..,2.000000e+09,f_backfray-end_161
79,.(.(((.(.(+.).).))).),1.497554e+10,b_sliding_137
80,....((....+......))..,5.869956e+07,b_backfray-end_175
81,....(.....+.......)..,2.000000e+09,f_backfray-end_179
82,....((....+......))..,5.869956e+07,b_backfray-end_175
83,....(.....+.......)..,2.000000e+09,f_backfray-end_179
84,....((....+......))..,5.869956e+07,b_backfray-end_175
85,....(.....+.......)..,2.000000e+09,f_backfray-end_179
86,....((....+......))..,2.000000e+07,f_sliding_174
87,.(.(((.(.(+.).).))).),1.497554e+10,b_sliding_137
88,....((....+......))..,5.869956e+07,b_backfray-end_175
89,....(.....+.......)..,2.000000e+09,f_backfray-end_179
90,....((....+......))..,5.869956e+07,b_backfray-end_175
91,....(.....+.......)..,2.000000e+09,f_backfray-end_179
92,....((....+......))..,5.869956e+07,b_backfray-end_176
93,.....(....+......)...,2.000000e+09,f_backfray-end_181
94,....((....+......))..,5.869956e+07,b_backfray-end_176
95,.....(....+......)...,2.000000e+09,f_backfray-end_181
96,....((....+......))..,5.869956e+07,b_backfray-end_175
97,....(.....+.......)..,2.000000e+09,f_backfray-end_179
98,....((....+......))..,5.869956e+07,b_backfray-end_176
99,.....(....+......)...,2.000000e+09,f_backfray-end_181
