,trajectory,next step rate,step name
0,..........+..........,4.765020e+08,f_off_core_33
1,..(.......+.........),2.000000e+09,f_backfray_150
2,..(...(...+.....)...),4.322098e+10,b_backfray_151
3,..(.......+.........),2.000000e+09,f_backfray_150
4,..(...(...+.....)...),4.322098e+10,b_backfray_151
5,..(.......+.........),2.000000e+09,f_backfray_150
6,..(...(...+.....)...),4.322098e+10,b_backfray_151
7,..(.......+.........),3.205307e+08,b_off_core_149
8,..........+..........,4.765020e+08,f_backfray-end_49
9,.........(+.........),3.205307e+08,b_backfray-end_223
10,..........+..........,4.765020e+08,f_backfray-end_47
11,.......(.(+.......).),5.031220e+09,b_sliding_218
12,.........(+........).,4.765020e+08,b_sliding_221
13,.........(+.........),3.205307e+08,b_backfray-end_223
14,..........+..........,4.765020e+08,f_off_core_43
15,.....(....+.........),2.000000e+09,f_backfray-end_204
16,.....(.(..+.......).),2.000000e+09,f_backfray-end_206
17,.....(.((.+......)).),5.031220e+09,b_backfray-end_201
18,.......((.+......))..,5.031220e+09,b_backfray-end_211
19,........(.+......)...,2.095948e+08,b_off_core_209
20,..........+..........,4.765020e+08,f_off_core_42
21,.........(+....).....,3.205307e+08,b_off_core_194
22,..........+..........,4.765020e+08,f_off_core_35
23,.......(..+....).....,2.000000e+09,f_backfray-end_161
24,......(((.+...)))....,4.680885e+09,b_backfray-end_162
25,.......(..+....).....,2.000000e+09,f_backfray-end_161
26,......(((.+...)))....,4.680885e+09,b_backfray-end_162
27,.......(..+....).....,2.000000e+09,f_backfray-end_161
28,......(((.+...)))....,4.680885e+09,b_backfray-end_162
29,.......(..+....).....,2.000000e+09,f_backfray-end_161
30,......(((.+...)))....,4.680885e+09,b_backfray-end_162
31,.......(..+....).....,2.000000e+09,f_backfray-end_161
32,......(((.+...)))....,4.680885e+09,b_backfray-end_162
33,.......(..+....).....,2.000000e+09,f_backfray-end_161
34,......(((.+...)))....,4.680885e+09,b_backfray-end_162
35,.......(..+....).....,2.000000e+09,f_backfray-end_161
36,......(((.+...)))....,4.680885e+09,b_backfray-end_162
37,.......(..+....).....,3.205307e+08,b_off_core_160
38,..........+..........,4.765020e+08,f_off_core_19
39,.....(....+).........,2.000000e+09,f_backfray-end_77
40,....((....+))........,7.644012e+09,b_backfray-end_78
41,.....(....+).........,2.000000e+09,f_backfray-end_77
42,....((....+))........,7.644012e+09,b_backfray-end_78
43,.....(....+).........,2.000000e+09,f_backfray-end_77
44,....((....+))........,7.644012e+09,b_backfray-end_78
45,.....(....+).........,2.000000e+09,f_backfray-end_77
46,....((....+))........,7.644012e+09,b_backfray-end_78
47,.....(....+).........,2.000000e+09,f_backfray-end_77
48,....((....+))........,2.000000e+09,f_backfray-end_79
49,.(..((....+))..).....,7.644012e+09,b_backfray-end_69
50,....((....+))........,7.644012e+09,b_backfray-end_78
51,.....(....+).........,2.000000e+09,f_backfray-end_77
52,....((....+))........,7.644012e+09,b_backfray-end_78
53,.....(....+).........,2.000000e+09,f_backfray-end_77
54,....((....+))........,7.644012e+09,b_backfray-end_78
55,.....(....+).........,3.205307e+08,b_off_core_76
56,..........+..........,4.765020e+08,f_off_core_38
57,.....(....+.......)..,2.000000e+09,f_backfray-end_180
58,.....((...+......))..,3.572056e+07,b_sliding_178
59,.....(..((+....))..).,6.499047e+09,b_backfray-end_186
60,........((+....))....,2.000000e+09,f_backfray-end_197
61,.....(..((+....))..).,6.499047e+09,b_backfray-end_186
62,........((+....))....,2.000000e+09,f_backfray-end_197
63,.....(..((+....))..).,6.499047e+09,b_backfray-end_186
64,........((+....))....,6.499047e+09,b_backfray-end_196
65,.........(+....).....,2.000000e+09,f_backfray-end_195
66,........((+....))....,6.499047e+09,b_backfray-end_196
67,.........(+....).....,3.205307e+08,b_off_core_194
68,..........+..........,4.765020e+08,f_backfray-end_13
69,.(........+..).......,3.205307e+08,b_backfray-end_53
70,..........+..........,4.765020e+08,f_on_core_2
71,..(.......+.......)..,2.000000e+09,f_zipping_249
72,.(((......+......))).,2.000000e+09,f_zipping_251
73,(((((.....+.....))))),2.000000e+09,f_zipping_234
74,((((((....+....)))))),2.000000e+09,f_zipping_237
75,(((((((...+...))))))),2.000000e+09,f_zipping_239
76,((((((((..+..)))))))),2.000000e+09,f_zipping_242
77,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_244
