,trajectory,next step rate,step name
0,..........+..........,3.850521e+07,f_nucleation13
1,..(.......+.)........,2.000000e+07,f_sliding_23
2,.(........+.)........,7.048169e+08,b_sliding_23
3,..(.......+.)........,2.000000e+07,f_sliding_23
4,.(........+.)........,7.048169e+08,b_sliding_23
5,..(.......+.)........,2.000000e+07,f_sliding_23
6,.(........+.)........,7.048169e+08,b_sliding_23
7,..(.......+.)........,2.000000e+07,f_sliding_24
8,((........+...)).....,8.853220e+07,b_sliding_24
9,..(.......+.)........,2.000000e+07,f_sliding_23
10,.(........+.)........,7.048169e+08,b_sliding_23
11,..(.......+.)........,9.572191e+06,b_nucleation13
12,..........+..........,3.850521e+07,f_nucleation3
13,........(.+.)........,7.624032e+09,f_zipping_43
14,.......(((+))).......,7.624032e+09,f_zipping_72
15,........((+))........,7.628092e+08,b_zipping_44
16,.........(+).........,7.624032e+09,f_zipping_44
17,........((+))........,7.628092e+08,b_zipping_44
18,.........(+).........,7.624032e+09,f_zipping_44
19,........((+))........,7.628092e+08,b_zipping_44
20,.........(+).........,7.624032e+09,f_zipping_44
21,........((+))........,7.628092e+08,b_zipping_44
22,.........(+).........,7.624032e+09,f_zipping_44
23,........((+))........,7.628092e+08,b_zipping_44
24,.........(+).........,7.624032e+09,f_zipping_44
25,........((+))........,7.628092e+08,b_zipping_44
26,.........(+).........,7.624032e+09,f_zipping_44
27,........((+))........,7.628092e+08,b_zipping_44
28,.........(+).........,7.624032e+09,f_zipping_44
29,........((+))........,7.628092e+08,b_zipping_44
30,.........(+).........,7.624032e+09,f_zipping_44
31,........((+))........,7.628092e+08,b_zipping_44
32,.........(+).........,7.624032e+09,f_zipping_44
33,........((+))........,7.628092e+08,b_zipping_44
34,.........(+).........,7.624032e+09,f_zipping_44
35,........((+))........,7.628092e+08,b_zipping_44
36,.........(+).........,7.624032e+09,f_zipping_44
37,........((+))........,7.628092e+08,b_zipping_44
38,.........(+).........,7.624032e+09,f_zipping_44
39,........((+))........,7.628092e+08,b_zipping_44
40,.........(+).........,7.624032e+09,f_zipping_44
41,........((+))........,7.628092e+08,b_zipping_44
42,.........(+).........,7.624032e+09,f_zipping_44
43,........((+))........,7.628092e+08,b_zipping_44
44,.........(+).........,7.624032e+09,f_zipping_44
45,........((+))........,7.628092e+08,b_zipping_44
46,.........(+).........,7.624032e+09,f_zipping_44
47,........((+))........,7.628092e+08,b_zipping_44
48,.........(+).........,7.624032e+09,f_zipping_44
49,........((+))........,7.628092e+08,b_zipping_44
50,.........(+).........,7.624032e+09,f_zipping_44
51,........((+))........,1.117329e+07,b_zipping_72
52,.......(((+))).......,7.624032e+09,f_zipping_71
53,......((((+))))......,8.515323e+08,b_zipping_71
54,.......(((+))).......,7.624032e+09,f_zipping_72
55,........((+))........,7.628092e+08,b_zipping_44
56,.........(+).........,7.624032e+09,f_zipping_44
57,........((+))........,7.628092e+08,b_zipping_44
58,.........(+).........,7.624032e+09,f_zipping_44
59,........((+))........,1.117329e+07,b_zipping_72
60,.......(((+))).......,7.624032e+09,f_zipping_72
61,........((+))........,7.628092e+08,b_zipping_44
62,.........(+).........,7.624032e+09,f_zipping_44
63,........((+))........,7.628092e+08,b_zipping_44
64,.........(+).........,7.624032e+09,f_zipping_44
65,........((+))........,7.628092e+08,b_zipping_44
66,.........(+).........,7.624032e+09,f_zipping_44
67,........((+))........,7.628092e+08,b_zipping_44
68,.........(+).........,7.624032e+09,f_zipping_44
69,........((+))........,7.628092e+08,b_zipping_44
70,.........(+).........,7.624032e+09,f_zipping_44
71,........((+))........,7.628092e+08,b_zipping_44
72,.........(+).........,7.624032e+09,f_zipping_44
73,........((+))........,7.628092e+08,b_zipping_44
74,.........(+).........,7.624032e+09,f_zipping_44
75,........((+))........,7.628092e+08,b_zipping_44
