,trajectory,next step rate,step name
0,..........+..........,6.784416e+07,f_nucleation2
1,((((......+......)))),2.000000e+09,f_zipping_12
2,(((((.....+.....))))),2.000000e+09,f_zipping_19
3,((((((....+....)))))),2.000000e+09,f_zipping_20
4,(((((((...+...))))))),2.000000e+09,f_zipping_21
5,((((((((..+..)))))))),2.000000e+09,f_zipping_23
6,.((((((...+...)))))).,2.556144e+06,b_zipping_23
7,((((((((..+..)))))))),2.000000e+09,f_zipping_23
8,.((((((...+...)))))).,1.190370e+05,b_zipping_14
9,..((((....+....))))..,2.000000e+09,f_zipping_14
10,.((((((...+...)))))).,2.556144e+06,b_zipping_23
11,((((((((..+..)))))))),2.000000e+09,f_zipping_23
12,.((((((...+...)))))).,2.556144e+06,b_zipping_23
13,((((((((..+..)))))))),2.000000e+09,f_zipping_23
14,.((((((...+...)))))).,2.556144e+06,b_zipping_23
15,((((((((..+..)))))))),2.000000e+09,f_zipping_23
16,.((((((...+...)))))).,2.556144e+06,b_zipping_23
17,((((((((..+..)))))))),2.000000e+09,f_zipping_22
18,(((((((((.+.))))))))),2.027511e+08,b_zipping_22
19,((((((((..+..)))))))),2.000000e+09,f_zipping_22
20,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
21,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
22,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
23,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
24,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
25,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
26,(((((((((.+.))))))))),2.027511e+08,b_zipping_22
27,((((((((..+..)))))))),2.000000e+09,f_zipping_22
28,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
29,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
30,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
31,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
32,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
33,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
34,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
35,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
36,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
37,((((((((((+)))))))))),2.119375e+08,b_zipping-end_30
38,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
39,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
40,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
41,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
42,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
43,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
44,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
45,((((((((((+)))))))))),1.234364e+08,b_zipping-end_26
46,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
47,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
48,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
49,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
50,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
51,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
52,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
53,((((((((((+)))))))))),2.765960e+08,b_zipping-end_24
