,trajectory,next step rate,step name
0,..........+..........,6.784416e+07,f_nucleation2
1,....((((..+..))))....,2.000000e+09,f_zipping_12
2,...((((((.+.))))))...,2.000000e+09,f_zipping_23
3,..((((((((+))))))))..,2.000000e+09,f_zipping_25
4,...(((((((+)))))))...,8.953679e+07,b_zipping_25
5,..((((((((+))))))))..,2.000000e+09,f_zipping_24
6,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
7,((((((((((+)))))))))),3.384986e+08,b_zipping-end_22
8,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_22
9,((((((((((+)))))))))),3.384986e+08,b_zipping-end_22
10,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_22
11,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
12,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
13,((((((((((+)))))))))),1.768721e+08,b_zipping-end_20
14,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_20
15,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
16,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
17,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
18,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
19,((((((((((+)))))))))),3.384986e+08,b_zipping-end_22
20,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_22
21,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
22,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
23,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
24,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
25,((((((((((+)))))))))),3.384986e+08,b_zipping-end_22
26,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_22
27,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
28,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
29,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
30,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
31,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
32,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
33,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
34,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
35,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
36,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
37,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
38,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
39,((((((((((+)))))))))),1.768721e+08,b_zipping-end_20
40,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_20
41,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
42,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
43,((((((((((+)))))))))),3.384986e+08,b_zipping-end_22
44,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_22
45,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
46,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
47,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
48,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
49,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
50,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_26
51,((((((((((+)))))))))),9.088834e+08,b_zipping-end_26
