,trajectory,next step rate,step name
0,..........+..........,1.583031e+08,f_nucleation9
1,..(...((((+..))))...),2.000000e+07,f_sliding-end_11
2,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
3,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
4,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
5,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
6,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
7,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
8,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
9,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
10,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
11,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
12,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
13,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
14,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
15,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
16,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
17,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
18,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
19,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
20,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
21,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
22,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
23,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
24,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
25,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
26,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
27,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
28,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
29,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
30,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
31,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
32,((((((((((+)))))))))),4.238299e+08,b_zipping-end_30
33,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
34,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
35,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
36,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
37,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
38,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
39,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
40,((((((((((+)))))))))),4.238299e+08,b_zipping-end_30
41,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
42,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
43,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
44,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
45,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
46,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
47,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
48,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
49,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
50,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
51,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
52,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
53,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
54,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
55,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
56,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
57,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
58,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
59,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
60,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
61,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
62,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
63,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
64,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
65,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
66,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
67,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
68,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
69,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
70,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
71,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
72,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
73,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
74,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
75,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
76,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
77,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
78,((((((((((+)))))))))),4.238299e+08,b_zipping-end_30
79,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
80,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
81,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
82,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
83,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
84,((((((((((+)))))))))),4.238299e+08,b_zipping-end_30
85,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
86,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
87,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
88,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
89,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
90,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
91,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
92,((((((((((+)))))))))),4.238299e+08,b_zipping-end_30
93,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
94,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
95,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
96,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
97,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
98,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
99,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
100,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
101,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
102,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
103,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
104,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
105,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
106,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
107,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
108,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
109,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
110,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
111,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
112,((((((((((+)))))))))),4.238299e+08,b_zipping-end_30
113,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
114,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
115,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
116,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
117,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
118,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
119,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
120,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
121,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
122,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
123,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
124,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
125,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
126,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
127,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
128,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
129,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
130,((((((((((+)))))))))),4.238299e+08,b_zipping-end_30
131,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_30
132,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
133,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
134,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
135,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
136,((((((((((+)))))))))),1.002277e+09,b_zipping-end_24
137,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_24
138,((((((((((+)))))))))),8.944760e+08,b_zipping-end_26
139,.((((((((.+.)))))))).,2.000000e+09,f_zipping-end_26
