,trajectory,DG,next step rate,step name
0,....+....,0.0,1.696104e+07,on_nucleation-1
1,.(..+..).,-0.2196709566059385,2.000000e+07,zipping-14
2,((..+..)),-1.4866385529302981,2.000000e+07,zipping-9
3,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
4,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
5,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
6,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
7,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
8,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
9,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
10,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
11,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
12,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
13,.(((+))).,-2.7536061492546575,2.356356e+06,zipping-23
14,..((+))..,-1.4866385529302981,2.000000e+07,zipping-28
15,.(((+))).,-2.7536061492546575,2.356356e+06,zipping-23
16,..((+))..,-1.4866385529302981,2.356356e+06,zipping-27
17,..(.+.)..,-0.2196709566059385,2.000000e+07,zipping-24
18,.((.+.)).,-1.4866385529302981,2.356356e+06,zipping-17
19,.(..+..).,-0.2196709566059385,2.000000e+07,zipping-14
20,((..+..)),-1.4866385529302981,2.000000e+07,zipping-9
21,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-13
22,.((.+.)).,-1.4866385529302981,2.000000e+07,zipping-19
23,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
24,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
25,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
26,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
27,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
28,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
29,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
30,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
31,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
32,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
33,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
34,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
35,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-13
36,.((.+.)).,-1.4866385529302981,2.000000e+07,zipping-18
37,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-13
38,.((.+.)).,-1.4866385529302981,2.000000e+07,zipping-19
39,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
40,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
41,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
42,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
43,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
44,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
45,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
46,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
47,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
48,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
49,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
50,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
51,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
52,((((+)))),-4.020573745579017,2.356356e+06,zipping-5
53,.(((+))).,-2.7536061492546575,2.000000e+07,zipping-22
54,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
55,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-11
56,((..+..)),-1.4866385529302981,2.356356e+06,zipping-8
57,(...+...),-0.2196709566059385,2.000000e+07,zipping-6
58,((..+..)),-1.4866385529302981,2.000000e+07,zipping-9
59,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-13
60,.((.+.)).,-1.4866385529302981,2.356356e+06,zipping-17
61,.(..+..).,-0.2196709566059385,1.170620e+07,on_nucleation-16
62,....+....,0.0,1.696104e+07,on_nucleation-1
63,.(..+..).,-0.2196709566059385,2.000000e+07,zipping-14
64,((..+..)),-1.4866385529302981,2.000000e+07,zipping-9
65,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-11
66,((..+..)),-1.4866385529302981,2.000000e+07,zipping-9
67,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
68,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
69,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
70,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
71,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-11
72,((..+..)),-1.4866385529302981,2.000000e+07,zipping-9
73,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-11
74,((..+..)),-1.4866385529302981,2.000000e+07,zipping-9
75,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-13
76,.((.+.)).,-1.4866385529302981,2.356356e+06,zipping-17
77,.(..+..).,-0.2196709566059385,2.000000e+07,zipping-15
78,.((.+.)).,-1.4866385529302981,2.000000e+07,zipping-18
79,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
80,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
81,(((.+.))),-2.7536061492546575,2.356356e+06,zipping-13
82,.((.+.)).,-1.4866385529302981,2.000000e+07,zipping-18
83,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
84,((((+)))),-4.020573745579017,2.356356e+06,zipping-4
85,(((.+.))),-2.7536061492546575,2.000000e+07,zipping-12
