,trajectory,DG,next step rate,step name
0,..........+..........,0.0,2.499522e+06,on_nucleation-19
1,.........(+).........,-0.2196709566059385,2.000000e+07,zipping-304
2,........((+))........,-2.0756277517050843,2.000000e+07,zipping-302
3,.......(((+))).......,-3.6517312500123555,2.000000e+07,zipping-296
4,......((((+))))......,-5.5076880451115,2.000000e+07,zipping-286
5,.....(((((+))))).....,-7.083791543418773,2.000000e+07,zipping-272
6,....((((((+))))))....,-8.939748338517918,2.000000e+07,zipping-254
7,...(((((((+)))))))...,-11.01808462741039,2.000000e+07,zipping-232
8,..((((((((+))))))))..,-12.59418812571766,2.000000e+07,zipping-206
9,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
10,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
11,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
12,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
13,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
14,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
15,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
16,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
17,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
18,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
19,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
20,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
21,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
22,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
23,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
24,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
25,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
26,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
27,.(((((((((+))))))))).,-13.86115572204202,1.366897e+06,zipping-175
28,.((((((((.+.)))))))).,-12.271570037695735,2.000000e+07,zipping-173
29,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
30,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
31,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
32,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
33,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
34,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
35,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
36,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
37,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
38,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
39,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
40,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
41,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
42,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
43,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
44,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
45,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
46,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
47,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
48,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
49,(((((((((.+.))))))))),-13.538537634020095,2.356356e+06,zipping-143
50,.((((((((.+.)))))))).,-12.271570037695735,2.000000e+07,zipping-173
51,.(((((((((+))))))))).,-13.86115572204202,2.000000e+07,zipping-176
52,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
53,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
54,((((((((((+)))))))))),-15.128123318366379,1.366897e+06,zipping-22
55,(((((((((.+.))))))))),-13.538537634020095,2.000000e+07,zipping-142
56,((((((((((+)))))))))),-15.128123318366379,2.356356e+06,zipping-23
