,trajectory,next step rate,step name
0,..........+..........,7.184670e+08,10
1,.......(..+.......)..,2.691884e+09,100
2,......((..+.......)).,1.790575e+09,95
3,......(((.+......))).,1.770816e+09,98
4,.....((((.+......)))),1.282201e+08,89
5,......(((.+......))).,1.770816e+09,98
6,.....((((.+......)))),1.282201e+08,89
7,......(((.+......))).,1.770816e+09,98
8,.....((((.+......)))),1.268051e+08,88
9,.....(((..+.......))),1.790575e+09,86
10,.....((((.+......)))),1.268051e+08,88
11,.....(((..+.......))),1.790575e+09,86
12,.....((((.+......)))),1.282201e+08,89
13,......(((.+......))).,1.770816e+09,98
14,.....((((.+......)))),1.282201e+08,89
15,......(((.+......))).,1.770816e+09,98
16,.....((((.+......)))),1.282201e+08,89
17,......(((.+......))).,1.770816e+09,98
18,.....((((.+......)))),1.268051e+08,88
19,.....(((..+.......))),8.434767e+07,85
20,.....((...+........)),2.691884e+09,83
21,.....(((..+.......))),1.790575e+09,86
22,.....((((.+......)))),1.268051e+08,88
23,.....(((..+.......))),1.790575e+09,86
24,.....((((.+......)))),1.268051e+08,88
25,.....(((..+.......))),1.790575e+09,86
26,.....((((.+......)))),1.282201e+08,89
27,......(((.+......))).,1.770816e+09,98
28,.....((((.+......)))),1.282201e+08,89
29,......(((.+......))).,1.770816e+09,98
30,.....((((.+......)))),1.282201e+08,89
31,......(((.+......))).,1.770816e+09,98
32,.....((((.+......)))),1.268051e+08,88
33,.....(((..+.......))),1.282201e+08,87
34,......((..+.......)).,1.770816e+09,94
35,.....(((..+.......))),1.282201e+08,87
36,......((..+.......)).,1.770816e+09,94
37,.....(((..+.......))),1.790575e+09,86
38,.....((((.+......)))),1.282201e+08,89
39,......(((.+......))).,1.770816e+09,98
40,.....((((.+......)))),1.268051e+08,88
41,.....(((..+.......))),1.790575e+09,86
42,.....((((.+......)))),1.282201e+08,89
43,......(((.+......))).,1.268051e+08,97
44,......((..+.......)).,1.770816e+09,94
45,.....(((..+.......))),1.790575e+09,86
46,.....((((.+......)))),1.268051e+08,88
47,.....(((..+.......))),1.790575e+09,86
48,.....((((.+......)))),1.268051e+08,88
49,.....(((..+.......))),1.790575e+09,86
50,.....((((.+......)))),1.268051e+08,88
51,.....(((..+.......))),1.790575e+09,86
52,.....((((.+......)))),1.268051e+08,88
