,trajectory,DG,next step rate,step name
0,..........+..........,0.0,6.248805e+06,off_nucleation-3
1,...(......+).........,-0.2196709566059385,2.000000e+07,zipping-50
2,..((......+))........,-1.4866385529302981,2.356356e+06,zipping-49
3,...(......+).........,-0.2196709566059385,4.312811e+06,off_nucleation-51
4,..........+..........,0.0,6.248805e+06,off_nucleation-0
5,(.........+...)......,-0.4860420673588002,2.000000e+07,zipping-22
6,((........+..))......,-2.564378356251272,2.000000e+07,zipping-25
7,(((.......+.)))......,-4.153964040597557,2.000000e+07,zipping-28
8,((((......+))))......,-5.420931636921916,2.156674e+09,sliding-32
9,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
10,(((((((((.+.))))))))),-13.465263411869525,1.366897e+06,zipping-105
11,((((((((..+..)))))))),-11.875677727523241,2.000000e+07,zipping-103
12,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
13,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
14,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
15,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
16,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
17,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
18,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
19,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
20,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
21,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
22,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
23,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
24,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
25,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
26,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
27,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
28,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
29,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
30,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
31,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
32,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
33,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
34,(((((((((.+.))))))))),-13.465263411869525,5.990214e+05,zipping-107
35,.((((((((.+.)))))))).,-11.386927122977053,2.000000e+07,zipping-137
36,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
37,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
38,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
39,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
40,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
41,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
42,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
43,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
44,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
45,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
46,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
47,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
48,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
49,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
50,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
51,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
52,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
53,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
54,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
55,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
56,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
57,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
58,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
59,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
60,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
61,((((((((((+)))))))))),-14.732231008193885,5.990214e+05,zipping-21
62,.(((((((((+))))))))).,-12.653894719301412,2.000000e+07,zipping-140
63,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
64,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
65,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
66,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
67,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
68,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
69,((((((((((+)))))))))),-14.732231008193885,2.356356e+06,zipping-20
70,(((((((((.+.))))))))),-13.465263411869525,2.000000e+07,zipping-106
71,((((((((((+)))))))))),,,
