,trajectory,next step rate,step name
0,..........+..........,7.184670e+08,9
1,.......(..+......)...,1.571274e+09,66
2,......((..+......))..,7.234006e+08,64
3,....(.((..+......)).),3.537302e+08,59
4,.....((...+........)),1.282201e+08,31
5,.....(....+.........),1.770816e+09,29
6,.....((...+........)),1.282201e+08,31
7,.....(....+.........),1.770816e+09,29
8,.....((...+........)),6.418852e+08,33
9,....(.((..+......)).),3.138706e+08,58
10,......((..+......))..,1.445032e+08,65
11,.......(..+......)...,1.571274e+09,66
12,......((..+......))..,1.445032e+08,65
13,.......(..+......)...,1.571274e+09,66
14,......((..+......))..,7.234006e+08,64
15,....(.((..+......)).),3.537302e+08,59
16,.....((...+........)),1.036840e+08,32
17,......(...+........).,2.189868e+09,34
18,.....((...+........)),6.418852e+08,33
19,....(.((..+......)).),3.537302e+08,59
20,.....((...+........)),6.418852e+08,33
21,....(.((..+......)).),3.138706e+08,58
22,......((..+......))..,7.234006e+08,64
23,....(.((..+......)).),3.138706e+08,58
24,......((..+......))..,1.168512e+08,63
25,......(...+.......)..,7.234006e+08,60
26,....(.(...+.......).),1.943106e+09,55
27,....(.((..+......)).),3.537302e+08,59
28,.....((...+........)),6.418852e+08,33
29,....(.((..+......)).),3.537302e+08,59
30,.....((...+........)),6.418852e+08,33
31,....(.((..+......)).),3.537302e+08,59
32,.....((...+........)),6.418852e+08,33
33,....(.((..+......)).),3.537302e+08,59
34,.....((...+........)),6.418852e+08,33
35,....(.((..+......)).),3.138706e+08,58
36,......((..+......))..,7.234006e+08,64
37,....(.((..+......)).),3.138706e+08,58
38,......((..+......))..,1.445032e+08,65
39,.......(..+......)...,3.160259e+08,67
40,..........+..........,5.809815e+08,5
41,..(.......+...)......,3.908113e+08,46
42,..........+..........,7.184670e+08,6
43,...(......+..).......,3.160259e+08,51
44,..........+..........,7.184670e+08,15
45,.....(....+....).....,2.691884e+09,206
46,....((....+....))....,3.802083e+09,188
47,...(((....+....)))...,1.770816e+09,167
48,...((((...+...))))...,5.971836e+07,172
49,....(((...+...)))....,3.802083e+09,192
50,...((((...+...))))...,1.943106e+09,171
51,...(((((..+..)))))...,1.571274e+09,174
52,..((((((..+..))))))..,1.357624e+09,148
53,.(((((((..+..))))))).,1.527644e+09,119
54,.((((((((.+.)))))))).,2.189868e+09,122
55,(((((((((.+.))))))))),9.456263e+08,92
56,((((((((((+)))))))))),2.401098e+08,20
57,(((((((((.+.))))))))),9.456263e+08,92
58,((((((((((+)))))))))),2.401098e+08,20
59,(((((((((.+.))))))))),9.456263e+08,92
60,((((((((((+)))))))))),2.401098e+08,20
61,(((((((((.+.))))))))),9.456263e+08,92
62,((((((((((+)))))))))),2.401098e+08,20
63,(((((((((.+.))))))))),9.456263e+08,92
64,((((((((((+)))))))))),1.036840e+08,21
65,.(((((((((+))))))))).,2.189868e+09,126
66,((((((((((+)))))))))),1.036840e+08,21
67,.(((((((((+))))))))).,2.189868e+09,126
68,((((((((((+)))))))))),1.036840e+08,21
69,.(((((((((+))))))))).,2.189868e+09,126
70,((((((((((+)))))))))),2.401098e+08,20
71,(((((((((.+.))))))))),9.456263e+08,92
72,((((((((((+)))))))))),2.401098e+08,20
73,(((((((((.+.))))))))),9.456263e+08,92
74,((((((((((+)))))))))),2.401098e+08,20
75,(((((((((.+.))))))))),1.036840e+08,93
76,.((((((((.+.)))))))).,9.456263e+08,123
77,.(((((((((+))))))))).,2.189868e+09,126
78,((((((((((+)))))))))),2.401098e+08,20
79,(((((((((.+.))))))))),9.456263e+08,92
80,((((((((((+)))))))))),2.401098e+08,20
81,(((((((((.+.))))))))),9.456263e+08,92
82,((((((((((+)))))))))),2.401098e+08,20
83,(((((((((.+.))))))))),1.486303e+08,91
84,((((((((..+..)))))))),1.036840e+08,90
85,.(((((((..+..))))))).,1.527644e+09,119
86,.((((((((.+.)))))))).,1.486303e+08,121
87,.(((((((..+..))))))).,2.189868e+09,118
88,((((((((..+..)))))))),1.527644e+09,89
89,(((((((((.+.))))))))),1.036840e+08,93
90,.((((((((.+.)))))))).,1.672437e+08,124
91,..(((((((.+.)))))))..,1.357624e+09,152
92,.((((((((.+.)))))))).,9.456263e+08,123
93,.(((((((((+))))))))).,2.189868e+09,126
94,((((((((((+)))))))))),2.401098e+08,20
95,(((((((((.+.))))))))),9.456263e+08,92
96,((((((((((+)))))))))),1.036840e+08,21
97,.(((((((((+))))))))).,2.401098e+08,125
98,.((((((((.+.)))))))).,2.189868e+09,122
99,(((((((((.+.))))))))),9.456263e+08,92
100,((((((((((+)))))))))),2.401098e+08,20
101,(((((((((.+.))))))))),9.456263e+08,92
102,((((((((((+)))))))))),2.401098e+08,20
103,(((((((((.+.))))))))),9.456263e+08,92
104,((((((((((+)))))))))),1.036840e+08,21
105,.(((((((((+))))))))).,2.189868e+09,126
106,((((((((((+)))))))))),1.036840e+08,21
107,.(((((((((+))))))))).,2.189868e+09,126
108,((((((((((+)))))))))),2.401098e+08,20
109,(((((((((.+.))))))))),9.456263e+08,92
110,((((((((((+)))))))))),1.036840e+08,21
111,.(((((((((+))))))))).,2.189868e+09,126
112,((((((((((+)))))))))),1.036840e+08,21
113,.(((((((((+))))))))).,2.401098e+08,125
114,.((((((((.+.)))))))).,2.189868e+09,122
115,(((((((((.+.))))))))),1.486303e+08,91
116,((((((((..+..)))))))),1.527644e+09,89
117,(((((((((.+.))))))))),9.456263e+08,92
118,((((((((((+)))))))))),2.401098e+08,20
119,(((((((((.+.))))))))),9.456263e+08,92
120,((((((((((+)))))))))),1.036840e+08,21
121,.(((((((((+))))))))).,2.189868e+09,126
122,((((((((((+)))))))))),2.401098e+08,20
123,(((((((((.+.))))))))),9.456263e+08,92
124,((((((((((+)))))))))),2.401098e+08,20
125,(((((((((.+.))))))))),9.456263e+08,92
126,((((((((((+)))))))))),1.036840e+08,21
127,.(((((((((+))))))))).,2.189868e+09,126
128,((((((((((+)))))))))),2.401098e+08,20
129,(((((((((.+.))))))))),9.456263e+08,92
130,((((((((((+)))))))))),1.036840e+08,21
131,.(((((((((+))))))))).,2.401098e+08,125
132,.((((((((.+.)))))))).,2.189868e+09,122
133,(((((((((.+.))))))))),9.456263e+08,92
134,((((((((((+)))))))))),2.401098e+08,20
135,(((((((((.+.))))))))),1.036840e+08,93
136,.((((((((.+.)))))))).,9.456263e+08,123
137,.(((((((((+))))))))).,2.189868e+09,126
138,((((((((((+)))))))))),2.401098e+08,20
139,(((((((((.+.))))))))),9.456263e+08,92
140,((((((((((+)))))))))),2.401098e+08,20
141,(((((((((.+.))))))))),9.456263e+08,92
142,((((((((((+)))))))))),2.401098e+08,20
143,(((((((((.+.))))))))),9.456263e+08,92
144,((((((((((+)))))))))),2.401098e+08,20
145,(((((((((.+.))))))))),9.456263e+08,92
146,((((((((((+)))))))))),2.401098e+08,20
147,(((((((((.+.))))))))),9.456263e+08,92
148,((((((((((+)))))))))),2.401098e+08,20
