,trajectory,next step rate,step name
0,..........+..........,4.765020e+08,f_off_core_24
1,..(.......+......)...,2.000000e+09,f_backfray_111
2,(.((......+.....)).).,2.000000e+09,f_backfray_103
3,(.(((.....+....))).).,2.000000e+09,f_backfray_106
4,(.(((.(...+..).))).).,2.000000e+09,f_backfray-end_108
5,(.(((.(.(.+).).))).).,5.507493e+09,b_backfray-end_95
6,(.(((.(...+..).))).).,2.000000e+09,f_backfray-end_108
7,(.(((.(.(.+).).))).).,5.507493e+09,b_backfray-end_95
8,(.(((.(...+..).))).).,2.000000e+09,f_backfray-end_108
9,(.(((.(.(.+).).))).).,5.507493e+09,b_backfray-end_95
10,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
11,..(((.....+....)))...,2.000000e+09,f_backfray_115
12,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
13,..(((.....+....)))...,2.000000e+09,f_backfray_115
14,(.(((.(...+..).))).).,2.000000e+09,f_backfray-end_108
15,(.(((.(.(.+).).))).).,5.507493e+09,b_backfray-end_95
16,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
17,..(((.....+....)))...,2.000000e+09,f_backfray_115
18,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
19,..(((.....+....)))...,2.000000e+09,f_backfray_115
20,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
21,..(((.....+....)))...,2.000000e+09,f_backfray_115
22,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
23,..(((.....+....)))...,2.000000e+09,f_backfray_115
24,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
25,..(((.....+....)))...,2.000000e+09,f_backfray_115
26,(.(((.(...+..).))).).,2.000000e+09,f_backfray-end_108
27,(.(((.(.(.+).).))).).,3.601346e+09,b_backfray-end_96
28,..(((.(.(.+).).)))...,2.000000e+09,f_backfray-end_121
29,(.(((.(.(.+).).))).).,5.507493e+09,b_backfray-end_95
30,(.(((.(...+..).))).).,2.000000e+09,f_backfray-end_108
31,(.(((.(.(.+).).))).).,5.507493e+09,b_backfray-end_95
32,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
33,..(((.....+....)))...,2.000000e+09,f_backfray_115
34,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
35,..(((.....+....)))...,2.000000e+09,f_backfray_115
36,(.(((.(...+..).))).).,2.000000e+09,f_backfray-end_108
37,(.(((.(.(.+).).))).).,3.601346e+09,b_backfray-end_96
38,..(((.(.(.+).).)))...,6.784598e+08,b_backfray_120
39,...((.(...+..).))....,2.000000e+09,f_backfray_119
40,..(((.(.(.+).).)))...,2.000000e+09,f_backfray-end_121
41,(.(((.(.(.+).).))).).,5.507493e+09,b_backfray-end_95
42,(.(((.(...+..).))).).,2.000000e+09,f_backfray-end_108
43,(.(((.(.(.+).).))).).,5.507493e+09,b_backfray-end_95
44,(.(((.(...+..).))).).,2.000000e+09,f_backfray-end_108
45,(.(((.(.(.+).).))).).,5.507493e+09,b_backfray-end_95
46,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
47,..(((.....+....)))...,2.000000e+09,f_backfray_115
48,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
49,..(((.....+....)))...,2.000000e+09,f_backfray_115
50,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
51,..(((.....+....)))...,2.000000e+09,f_backfray_115
52,(.(((.(...+..).))).).,2.000000e+09,f_backfray-end_108
53,(.(((.(.(.+).).))).).,5.507493e+09,b_backfray-end_95
54,(.(((.(...+..).))).).,1.562560e+09,b_backfray_109
55,..(((.....+....)))...,2.000000e+09,f_backfray_115
56,(.(((.(...+..).))).).,2.000000e+09,f_backfray-end_108
57,(.(((.(.(.+).).))).).,5.507493e+09,b_backfray-end_95
58,(.(((.(...+..).))).).,2.000000e+09,f_backfray-end_108
59,(.(((.(.(.+).).))).).,7.079103e+07,b_sliding_97
60,.(.(((.(.(+.).).))).),2.357986e+09,b_backfray-end_135
61,.(.(((.(..+...).))).),7.591864e+09,b_backfray_147
62,.(.(((....+.....))).),2.000000e+09,f_backfray_146
63,.(.(((.(..+...).))).),2.456608e+10,b_backfray_149
