,trajectory,next step rate,step name
0,..........+..........,4.765020e+08,f_off_core_33
1,..(.......+.........),2.000000e+09,f_backfray_150
2,..(...(...+.....)...),4.322098e+10,b_backfray_151
3,..(.......+.........),2.000000e+09,f_backfray_150
4,..(...(...+.....)...),4.322098e+10,b_backfray_151
5,..(.......+.........),2.000000e+09,f_backfray_150
6,..(...(...+.....)...),4.322098e+10,b_backfray_151
7,..(.......+.........),3.205307e+08,b_off_core_149
8,..........+..........,4.765020e+08,f_backfray-end_10
9,(.........+).........,3.205307e+08,b_backfray-end_50
10,..........+..........,4.765020e+08,f_off_core_20
11,..(.......+....).....,2.000000e+09,f_backfray-end_83
12,..((......+...)).....,3.450225e+07,b_backfray-end_81
13,...(......+...)......,2.000000e+09,f_backfray-end_85
14,..((......+...)).....,2.256100e+07,b_backfray-end_80
15,..(.......+....).....,2.000000e+09,f_backfray-end_83
16,..((......+...)).....,2.256100e+07,b_backfray-end_80
17,..(.......+....).....,2.000000e+09,f_backfray-end_83
18,..((......+...)).....,3.450225e+07,b_backfray-end_81
19,...(......+...)......,2.000000e+09,f_backfray-end_85
20,..((......+...)).....,2.256100e+07,b_backfray-end_80
21,..(.......+....).....,2.000000e+09,f_backfray-end_83
22,..((......+...)).....,2.256100e+07,b_backfray-end_80
23,..(.......+....).....,2.000000e+09,f_backfray-end_83
24,..((......+...)).....,2.256100e+07,b_backfray-end_80
25,..(.......+....).....,2.000000e+09,f_backfray-end_83
26,..((......+...)).....,3.450225e+07,b_backfray-end_81
27,...(......+...)......,2.000000e+09,f_backfray-end_85
28,..((......+...)).....,2.256100e+07,b_backfray-end_80
29,..(.......+....).....,3.205307e+08,b_off_core_82
30,..........+..........,4.765020e+08,f_on_core_1
31,.(........+........).,2.000000e+09,f_zipping_247
32,(((.......+.......))),2.000000e+09,f_zipping_229
33,((((......+......)))),2.000000e+09,f_zipping_232
34,(((((.....+.....))))),2.000000e+09,f_zipping_234
35,((((((....+....)))))),2.000000e+09,f_zipping_237
36,(((((((...+...))))))),2.000000e+09,f_zipping_239
37,((((((((..+..)))))))),2.000000e+09,f_zipping_242
38,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_244
39,((((((((((+)))))))))),5.869956e+07,b_zipping-end_309
40,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_275
41,((((((((((+)))))))))),3.374497e+07,b_zipping-end_308
42,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_244
43,((((((((((+)))))))))),3.374497e+07,b_zipping-end_308
44,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_244
45,((((((((((+)))))))))),5.869956e+07,b_zipping-end_309
46,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_275
47,((((((((((+)))))))))),5.869956e+07,b_zipping-end_309
48,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_275
49,((((((((((+)))))))))),3.374497e+07,b_zipping-end_308
50,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_244
51,((((((((((+)))))))))),3.374497e+07,b_zipping-end_308
52,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_244
53,((((((((((+)))))))))),3.374497e+07,b_zipping-end_308
54,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_244
55,((((((((((+)))))))))),3.374497e+07,b_zipping-end_308
56,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_244
57,((((((((((+)))))))))),3.374497e+07,b_zipping-end_308
58,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_244
59,((((((((((+)))))))))),5.869956e+07,b_zipping-end_309
60,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_275
61,((((((((((+)))))))))),5.869956e+07,b_zipping-end_309
62,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_275
63,((((((((((+)))))))))),5.869956e+07,b_zipping-end_309
64,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_275
65,((((((((((+)))))))))),5.869956e+07,b_zipping-end_309
66,.(((((((((+))))))))).,2.000000e+09,f_zipping-end_275
67,((((((((((+)))))))))),3.374497e+07,b_zipping-end_308
68,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_244
69,((((((((((+)))))))))),3.374497e+07,b_zipping-end_308
70,(((((((((.+.))))))))),2.000000e+09,f_zipping-end_244
71,((((((((((+)))))))))),3.374497e+07,b_zipping-end_308
