,0
0,3.7454030158667476e-07
1,7.988708792189824e-08
2,2.483125821691138e-07
3,1.5957036562771978e-07
4,2.9307711943059005e-07
5,2.2799010561727963e-07
6,2.8373745671687914e-07
7,6.930741097180993e-07
8,4.350392737407866e-07
9,5.184402574714004e-08
10,1.8953178506885972e-07
11,5.490395943173585e-07
12,1.6677820138626288e-07
13,6.967461668226155e-08
14,5.548474894212102e-07
15,1.7772262014483372e-07
16,1.1640572299689306e-07
17,1.3999616064705874e-07
18,2.414949820017502e-07
19,1.8463288617771328e-07
20,2.8585996396498114e-07
21,1.841834793861287e-07
22,3.635629643631966e-07
23,1.0948682789226522e-07
24,4.06755836529671e-07
25,2.6869586688485017e-07
26,3.679800168109699e-07
27,6.933761497862859e-08
28,1.3190807270610052e-07
29,8.792390466406978e-08
30,4.7849923446728896e-08
31,1.6752215016874397e-07
32,2.2543797113932407e-07
33,7.26620416039472e-08
34,1.5831498283508913e-07
35,2.2471203658160965e-07
36,1.0596721580693067e-07
37,1.9156487756912317e-07
38,2.1389088938632647e-07
39,8.477051229666379e-08
40,3.872995408682476e-07
41,3.5265216389346235e-07
42,1.4521685255252442e-07
43,1.6331303807351672e-07
44,9.619270974585143e-08
45,2.430186196422455e-07
46,4.642650981062937e-07
47,4.344288251789393e-08
48,2.182619768099162e-07
49,4.379829376730513e-08
50,4.216116843251247e-08
51,2.0235879641546799e-07
52,5.857628197425695e-07
53,1.8346629148499643e-07
54,1.1502091556443437e-07
55,2.608554184565283e-07
56,5.833298499497485e-07
57,2.445110397103646e-07
58,7.807489646883862e-08
59,2.8769599150357456e-07
60,1.6312430506063874e-07
61,5.561959500781901e-07
62,8.689951485541744e-08
63,1.5413212647288335e-07
64,2.991240669145406e-07
65,1.4558915856990493e-07
66,2.0484229284370133e-07
67,2.7528661317334166e-07
68,4.008855671657743e-07
69,2.193648712590201e-07
70,5.796440742101201e-07
71,3.8915258372223706e-07
72,3.820621403891716e-07
73,6.47226049169651e-07
74,2.270129309185741e-07
75,2.2202631749378415e-07
76,2.055343322531796e-07
77,1.0045856981875368e-07
78,1.9776201228628447e-07
79,3.571501413763366e-07
80,2.3986943822478657e-07
81,2.6005658213345195e-07
82,5.14278717709456e-07
83,1.7459301687661662e-07
84,1.332274461917393e-07
85,5.645526205750092e-07
86,2.1663025343793154e-07
87,3.0086213289361374e-07
88,9.18890927048249e-08
89,5.371722061767454e-07
90,1.1200095509923169e-07
91,3.2779908806745605e-07
92,4.124585757888809e-07
93,4.1566082824280103e-07
94,2.4984928645846207e-07
95,2.4047917972739974e-07
96,1.5482604959205084e-07
97,4.810884483592185e-08
98,6.808146184334085e-08
99,2.909201195573502e-07
100,5.63663181741924e-07
101,5.8005148631281866e-08
102,1.2593877726258208e-07
103,4.2261891594857144e-07
104,1.3164577800528104e-07
105,2.733318106683968e-07
106,8.750481962319063e-08
107,4.978959453923308e-07
108,3.4877760312372543e-07
109,1.833596974397336e-07
110,2.6199592943985986e-07
111,8.424928148448845e-08
112,2.3598366418995347e-07
113,6.474124257911563e-07
114,2.0689750688373916e-07
115,6.214579903758412e-07
116,1.1293249326109162e-07
117,7.107395505291611e-07
118,2.2390044631813397e-07
119,3.823296862382133e-07
120,1.0019170597211691e-07
121,2.484488682934861e-07
122,4.770439323601737e-07
123,3.73624266902982e-07
124,5.670095112421446e-08
125,9.457357001210115e-08
126,4.141277692811905e-07
127,3.214972076051763e-07
128,2.1918813814985224e-07
129,1.2740125810478208e-07
130,3.2807066839027846e-07
131,9.340307471033171e-08
132,4.2005656335592366e-07
133,7.485693118963179e-08
134,6.155710642575376e-07
135,3.2681028640703843e-07
136,1.5135216292423113e-07
137,3.8932656239034696e-07
138,5.765074441793528e-08
139,7.321329090559694e-08
140,2.4185530914922275e-07
141,4.337944143155684e-07
142,4.2196706463882023e-07
143,3.5548547297066143e-07
144,3.023216115781116e-08
145,5.7569258788771064e-08
146,1.2589183658917999e-07
147,4.641580336414788e-07
148,1.6745718568002007e-07
149,5.44439920463059e-07
150,2.359323086227079e-07
151,3.732070989711257e-07
152,1.5314663251361365e-07
153,2.5144059129720973e-07
154,1.4265736308453426e-07
155,2.2199035307313092e-07
156,2.8614813648908717e-07
157,1.7043010932307525e-07
158,5.144867561439166e-07
159,2.3207278187799848e-07
160,2.3619793535040637e-07
161,1.0229018950606903e-07
162,4.403877326574815e-07
163,2.3700139940358064e-07
164,1.0288081230547903e-07
165,1.332507044341518e-07
166,7.239503091849395e-07
167,1.7788361082685357e-07
168,1.772778276039911e-07
169,8.203792576501891e-07
170,1.2017549366027226e-07
171,5.53130154793012e-07
172,4.0567178960448536e-07
173,1.5068004849546722e-07
174,1.5276990588827947e-07
175,1.756907635292024e-07
176,3.162906129394392e-08
177,3.27530000794104e-07
178,2.9421821047701696e-08
179,2.419188499655654e-07
180,5.5103319317762405e-08
181,2.4005798946982425e-07
182,4.129309289847332e-07
183,1.5931187376292224e-07
184,7.826982345144335e-08
185,1.9091517774192219e-07
186,6.122602242146977e-07
187,2.658894126677551e-07
188,7.703806057824361e-08
189,5.027591913932095e-07
190,7.65204256760145e-08
191,3.5430059914872474e-07
192,9.648181580853437e-08
193,4.358415924261044e-07
194,1.8099214523365534e-07
195,2.4278366922533313e-07
196,4.710049768200915e-07
197,3.7716919557020657e-07
